                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2032,                 2.7061,                 1.3985,                0.59558,                0.51793,                0.54816,                0.42423,                0.94223,                 2.5902,                 1.1386,             0.00011432,             0.00011432,             0.00011432
                      2,                0.94002,                 1.2874,                 1.1978,                0.69746,                0.54606,                0.62774,                0.47432,                0.97227,                 1.5238,                 1.1114,             0.00016276,             0.00016276,             0.00016276
                      3,                0.86383,                 1.0447,                   1.12,                0.71457,                 0.6369,                0.70949,                0.52478,                0.95075,                 1.1456,                 1.0871,             0.00012632,             0.00012632,             0.00012632
